GeneSymbol,log2FC,pvalue,mean_severe,mean_non_severe,fdr,direction
LOC101929717,-1.3863946334458503,3.3011887027734474e-05,1.8053467675792298,3.19174140102508,0.42240542640834394,down
PSMB9,-0.6736879821630453,5.042984560990774e-05,11.900671970505833,12.574359952668878,0.42240542640834394,down
MIA-RAB4B,-1.0735497578609952,6.187539310547017e-05,7.797037015842953,8.870586773703948,0.42240542640834394,down
TRIM69,-1.2240848398349353,0.00011951602836136656,9.24911313335206,10.473197973186995,0.42240542640834394,down
IGLV6-57,2.7679483837179006,0.00014328095147480272,5.665337730187698,2.8973893464697973,0.42240542640834394,up
HOTAIR,-1.6019322238293658,0.0001569092439381507,1.9617405713594516,3.5636727951888174,0.42240542640834394,down
ZNF215,1.866297319661709,0.00016432838928675763,6.760017274149438,4.893719954487729,0.42240542640834394,up
GNPTG,-0.43057315967964804,0.00017474102836215167,7.339566393079217,7.770139552758865,0.42240542640834394,down
MT2A,-0.8209237498111897,0.00018372191209197134,11.641637014732847,12.462560764544037,0.42240542640834394,down
SRRM4,1.302592031970725,0.0001941647558760487,4.440968901835547,3.1383768698648224,0.42240542640834394,up
SIRT7,-0.44787081514396654,0.00022567142243745534,8.368020967240932,8.815891782384899,0.42456977000709384,down
KREMEN1,-1.5551440590495837,0.00023419155321007245,3.4101459099458524,4.965289968995436,0.42456977000709384,down
D2HGDH,-0.7158976421542667,0.00029527317230343343,7.549805549118456,8.265703191272722,0.4429487615021118,down
ABHD5,-0.6732902597464276,0.00031329622869220316,6.658281091122407,7.331571350868835,0.4429487615021118,down
EI24,0.46917567368902624,0.0003437367765577795,9.617263837016715,9.148088163327689,0.4429487615021118,up
LOC100996696,0.7224965018451375,0.00034722902146713423,9.597265015191363,8.874768513346226,0.4429487615021118,up
FCHSD1,-1.39436571596426,0.0003976880070111259,5.64687751803812,7.04124323400238,0.4429487615021118,down
SLC7A11,0.992427944677007,0.00039960375517149245,7.106596364523315,6.114168419846308,0.4429487615021118,up
OR2A9P,0.8039458090988916,0.00042961180177493344,5.592534046403913,4.788588237305022,0.4429487615021118,up
RAB5B,-0.5740942398700941,0.0004518306134232099,6.4952289815098325,7.069323221379927,0.4429487615021118,down
CTNNBL1,-0.35074233646565034,0.0004592305744644292,8.906326760814624,9.257069097280274,0.4429487615021118,down
MIR4680,0.5257708025494647,0.0004651180769692493,11.134901354549879,10.609130552000414,0.4429487615021118,up
IFNE,1.7594330663578572,0.0005209031530134301,3.643331871812356,1.8838988054544987,0.4429487615021118,up
GNG7,0.8968166729721467,0.0005275219928275364,8.830765695199695,7.933949022227548,0.4429487615021118,up
VCX2,-1.0546459455114348,0.0005338378883277559,3.7710667635496677,4.8257127090611025,0.4429487615021118,down
NCL,0.6497218806854725,0.0005685549676323713,11.483066696035632,10.83334481535016,0.4429487615021118,up
EAF2,1.0105968439096777,0.0005978113158912906,9.609866195886614,8.599269351976936,0.4429487615021118,up
HLA-F,-0.5118004654320902,0.0006209696918312599,11.943747214207141,12.455547679639231,0.4429487615021118,down
BMP8B,0.8974731071153972,0.0006246984218390574,6.0830448701188145,5.185571763003417,0.4429487615021118,up
LOC101929988,0.613923279350713,0.0006800201977610879,6.166502843476859,5.552579564126146,0.4429487615021118,up
SPATA41,-1.426273609169331,0.000682542572466701,2.186297021382434,3.6125706305517653,0.4429487615021118,down
ZNF672,-0.6564048416122148,0.0006971164883149369,8.215293246101147,8.871698087713362,0.4429487615021118,down
GAB1,1.1712040498938263,0.0007044610807751864,7.0929301466423125,5.921726096748486,0.4429487615021118,up
