GeneSymbol,OmicsScore,TractabilityScore,PathwayScore,PhaseScore,base_score,base_rank,equal_weight_score,equal_weight_rank,omics_heavy_score,omics_heavy_rank
IL1B,0.4326423074074075,0.65,1.0,0.85,0.6521890383333333,1.0,0.7331605768518519,1.0,0.5920853844444445,2.0
CXCL10,0.5517810111111111,0.2,1.0,0.85,0.615801455,2.0,0.6504452527777778,4.0,0.5960686066666666,1.0
IL6,0.2889417962962963,0.65,1.0,0.75,0.5725238083333333,3.0,0.6722354490740741,2.0,0.49586507777777783,3.0
TNF,0.10169262962962944,0.65,1.0,0.85,0.5032616833333332,4.0,0.6504231574074074,5.0,0.3935155777777777,10.0
CCL2,0.23881655325520246,0.2,1.0,1.0,0.4974674489648411,5.0,0.6097041383138007,8.0,0.4232899319531215,6.0
STAT1,0.28513574074074094,0.2,1.0,0.85,0.49581108333333346,6.0,0.5837839351851852,10.0,0.4360814444444446,4.0
IFNB1,0.2662066453238161,0.2,1.0,0.85,0.4872929903957173,7.0,0.579051661330954,11.0,0.42472398719428966,5.0
ANGPT2,0.03129233980134002,0.65,0.95,1.0,0.48408155291060306,8.0,0.657823084950335,3.0,0.358775403880804,13.0
IL10,0.2746156451836449,0.2,1.0,0.6,0.45357704033264024,9.0,0.5186539112959112,31.0,0.4047693871101869,8.0
F3,0.043643189311971024,0.45,0.95,1.0,0.44963943519038696,10.0,0.6109107973279928,6.0,0.33618591358718264,17.0
BDNF,0.32531617221393927,0.2,0.75,0.75,0.4488922774962727,11.0,0.5063290430534848,34.0,0.4126897033283636,7.0
HMOX1,0.15278797967198016,0.65,0.8,0.6,0.4487545908523911,12.0,0.5506969949179951,14.0,0.3691727878031881,12.0
VWF,0.039455916377916185,0.45,0.95,1.0,0.4477551623700623,13.0,0.6098639790944791,7.0,0.3336735498267497,19.0
PROCR,0.2800801444108145,0.2,0.95,0.6,0.4460360649848666,14.0,0.5075200361027036,33.0,0.4005480866464887,9.0
SERPINE1,0.026026452760452713,0.45,0.95,1.0,0.4417119037422037,15.0,0.6065066131901131,9.0,0.3256158716562716,21.0
ITGB3,0.14165959629629662,0.2,0.9,1.0,0.4337468183333335,16.0,0.5604148990740742,12.0,0.349995757777778,14.0
TEK,0.2444815037037036,0.2,0.95,0.6,0.43001667666666665,17.0,0.4986203759259259,35.0,0.3791889022222222,11.0
ISG15,0.13392840740740763,0.2,1.0,0.85,0.4277677833333335,18.0,0.5459821018518519,19.0,0.3453570444444446,15.0
IRF7,0.1264508378378382,0.2,1.0,0.85,0.4244028770270272,19.0,0.5441127094594596,20.0,0.3408705027027029,16.0
OAS1,0.1066996401016406,0.2,1.0,0.85,0.4155148380457383,20.0,0.5391749100254102,22.0,0.32901978406098437,20.0
VEGFA,0.07298254444444432,0.2,0.95,1.0,0.41284214499999994,21.0,0.555745636111111,13.0,0.31628952666666654,22.0
PLAT,0.14392512266112253,0.2,0.95,0.75,0.4072663051975051,22.0,0.5109812806652806,32.0,0.3338550735966735,18.0
FGA,0.04004786671286657,0.2,0.95,1.0,0.39802154002078993,23.0,0.5475119666782167,16.0,0.2965287200277199,28.0
EDN1,0.037653349272349035,0.2,0.95,1.0,0.39694400717255707,24.0,0.5469133373180872,17.0,0.2950920095634094,32.0
F2,0.036048498507774904,0.2,0.95,1.0,0.39622182432849873,25.0,0.5465121246269438,18.0,0.2941290991046649,33.0
IFNA1,0.06285445691845691,0.2,1.0,0.85,0.39578450561330564,26.0,0.5282136142296142,28.0,0.30271267415107417,24.0
SELP,0.05408149909126495,0.2,0.9,1.0,0.39433667459106925,27.0,0.5385203747728162,23.0,0.29744889945475894,26.0
ITGA2B,0.05373329036729064,0.2,0.9,1.0,0.3941799806652808,28.0,0.5384333225918226,24.0,0.2972399742203744,27.0
GP1BA,0.05145265188265189,0.2,0.9,1.0,0.3931536933471934,29.0,0.537863162970663,25.0,0.29587159112959116,30.0
MX1,0.05665654274915349,0.2,1.0,0.85,0.39299544423711913,30.0,0.5266641356872884,29.0,0.2989939256494921,25.0
PF4,0.04650683333333341,0.2,0.9,1.0,0.39092807500000004,31.0,0.5366267083333334,26.0,0.29290410000000006,34.0
KDR,0.02382501851851839,0.2,0.95,1.0,0.39072125833333327,32.0,0.5434562546296295,21.0,0.28679501111111105,35.0
IL8,0.0,0.2,1.0,1.0,0.39,33.0,0.55,15.0,0.28,37.0
IFNG,0.03322392977551051,0.2,1.0,0.85,0.38245076839897973,34.0,0.5208059824438777,30.0,0.2849343578653063,36.0
PROS1,0.1359512381612383,0.2,0.95,0.6,0.38117805717255726,35.0,0.47148780954030955,36.0,0.31407074289674297,23.0
PPBP,0.02280616933538321,0.2,0.9,1.0,0.38026277620092247,36.0,0.5307015423338458,27.0,0.2786837016012299,38.0
TFPI,0.10564475675675679,0.2,0.95,0.6,0.3675401405405405,37.0,0.46391118918918917,37.0,0.29588685405405407,29.0
THBD,0.10551527777777772,0.2,0.95,0.6,0.36748187499999996,38.0,0.4638788194444444,38.0,0.2958091666666666,31.0
NOS3,0.037829711111111095,0.2,0.95,0.6,0.33702337000000004,39.0,0.4469574277777778,39.0,0.2551978266666666,39.0
CLDN5,0.049313859259259255,0.2,0.75,0.75,0.32469123666666666,40.0,0.4373284648148148,41.0,0.24708831555555555,40.0
ANGPT1,0.0077648259806906,0.2,0.95,0.6,0.3234941716913108,41.0,0.4394412064951726,40.0,0.23715889558841435,42.0
EPO,0.04300353282746902,0.2,0.75,0.75,0.32185158977236106,42.0,0.4357508832068673,42.0,0.2433021196964814,41.0
OCLN,0.027058706436882806,0.2,0.75,0.75,0.3146764178965973,43.0,0.4317646766092207,43.0,0.2337352238621297,44.0
NGF,0.02680499376299341,0.2,0.75,0.75,0.314562247193347,44.0,0.43170124844074836,44.0,0.23358299625779605,45.0
AQP4,0.017716969276969387,0.2,0.75,0.75,0.3104726361746363,45.0,0.42942924231924234,45.0,0.22813018156618164,46.0
SOD2,0.0445383538569204,0.2,0.8,0.6,0.31004225923561424,46.0,0.4111345884642301,47.0,0.23672301231415221,43.0
TJP1,0.008671475167474884,0.2,0.75,0.75,0.3064021638253637,47.0,0.42716786879186874,46.0,0.22270288510048492,48.0
GPX1,0.025093205128205533,0.2,0.8,0.6,0.3012919423076925,48.0,0.4062733012820514,48.0,0.22505592307692332,47.0
NQO1,0.018627991722300938,0.2,0.8,0.6,0.2983825962750355,49.0,0.4046569979305753,49.0,0.22117679503338056,49.0
NFE2L2,0.015409528990529015,0.2,0.8,0.6,0.29693428804573807,50.0,0.4038523822476323,50.0,0.21924571739431742,50.0
